code,name,text,type_code,traits,pack_code,illustrator,image_url,xp,faction_code
3192,Archaic Glyphs,"Researched. Uses (3 charges). [action] Spend 1 charge: Investigate. For every 2 points you succeed by, discover 1 additional clue at your location.",asset,Spell,apot,Anna Christenson,https://arkhamdb.com/bundles/cards/03192.jpg,3,seeker
3193,Archaic Glyphs,"Researched. Uses (3 charges). [action] Spend 1 charge: Investigate. If you succeed, you may automatically evade an engaged enemy. This action does not provoke attacks of opportunity.",asset,Spell,apot,Anna Christenson,https://arkhamdb.com/bundles/cards/03193.jpg,3,seeker
3194,Cheap Shot,"Fight. Add your [agility] value to your skill value for this attack. If you succeed by 2 or more, automatically evade the attacked enemy.",event,Trick,apot,Andreia Ugrai,https://arkhamdb.com/bundles/cards/03194.jpg,0,rogue
3195,Pickpocketing,"Fast. [reaction] After you evade an enemy, exhaust Pickpocketing: Draw 1 card or gain 1 resource. If you succeeded by 2 or more, do both instead.",asset,Talent|Illicit,apot,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/03195.jpg,2,rogue
3196,Quantum Flux,Shuffle your discard pile into your deck and draw 1 card. Remove Quantum Flux from the game.,event,Insight,apot,Andreas Zafiratos,https://arkhamdb.com/bundles/cards/03196.jpg,0,mystic
3197,Recharge,"Choose a [[Spell]] or [[Relic]] asset controlled by an investigator at your location and reveal a random chaos token from the chaos bag. If you reveal a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol, discard the chosen asset. Otherwise, add 3 charges to the chosen asset.",event,Spell,apot,Martin de Diego Sádaba,https://arkhamdb.com/bundles/cards/03197.jpg,2,mystic
3198,Madame Labranche,"[fast] If you have no cards in your hand, exhaust Madame Labranche: Draw 1 card. [fast] If you have no resources, exhaust Madame Labranche: Gain 1 resource.",asset,Ally|Patron,apot,Joshua Cairós,https://arkhamdb.com/bundles/cards/03198.jpg,0,survivor
3199,Snare Trap,"Attach to your location. Limit 1 per location. Forced - After a non-[[Elite]] enemy enters attached location: Exhaust that enemy, disengage it from all investigators, and attach Snare Trap to it. Forced - When attached enemy would ready: Instead, discard Snare Trap.",event,Trap|Improvised,apot,Preston Stone,https://arkhamdb.com/bundles/cards/03199.jpg,2,survivor
3120,Echoes of the Past,"Easy / Standard [skull]: -X. X is the highest number of doom on an enemy in play. [cultist]: -2. If you fail, place 1 doom on the nearest enemy. [tablet]: -2. If you fail, discard a random card from your hand. [elder_thing]: -2. If you fail and there is an enemy at your location, take 1 horror.",scenario,No traits,eotp,Unknown,https://arkhamdb.com/bundles/cards/03120.jpg,0,mythos
3121,The Truth is Hidden,Skip the 'Place 1 doom on the current agenda' step of the Mythos phase. Forced - After 1 or more clues are placed on an enemy in play: Flip those clues to their doom side.,agenda,No traits,eotp,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/03121.jpg,0,mythos
3122,Ransacking the Manor,Skip the 'Place 1 doom on the current agenda' step of the Mythos phase. Forced - After 1 or more clues are placed on an enemy in play: Flip those clues to their doom side.,agenda,No traits,eotp,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/03122.jpg,0,mythos
3123,Secrets Better Left Hidden,Skip the 'Place 1 doom on the current agenda' step of the Mythos phase. Forced - After 1 or more clues are placed on an enemy in play: Flip those clues to their doom side.,agenda,No traits,eotp,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/03123.jpg,0,mythos
3126,The Oath,"Locations with the [[Passageway]] trait are connected to one another. Objective - Only investigators in the Hidden Library may spend the requisite number of clues, as a group, to advance.",act,No traits,eotp,Yoann Boissonnet,https://arkhamdb.com/bundles/cards/03126.jpg,0,mythos
3127,Entry Hall,"Entry Hall is connected to each other [[Ground Floor]] location. [action]: Resign. You flee, leaving the mysteries of the past to the mysterious cultists.",location,Ground Floor,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03127.jpg,0,mythos
3128,Historical Society,[action] Exhaust an [[Ally]] asset: Discover a clue at this location. (Limit once per round.),location,Ground Floor|Passageway,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03128.jpg,0,mythos
3129,Historical Society,Each enemy at this location gets +1 fight and +1 evade.,location,Ground Floor,eotp,Yoann Boissonnet,https://arkhamdb.com/bundles/cards/03129.jpg,0,mythos
3130,Historical Society,"While investigating this location, your [intellect] cannot be increased.",location,Ground Floor,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03130.jpg,0,mythos
3131,Quiet Halls,Quiet Halls is connected to each other [[Second Floor]] location. [action] If each location in play is revealed and there are no clues on locations in play: Place 1 [per_investigator] clues on Quiet Halls (from the token bank) .,location,Second Floor,eotp,Jokubas Uogintas,https://arkhamdb.com/bundles/cards/03131.jpg,0,mythos
3132,Historical Society,"While investigating this location, your [intellect] cannot be increased.",location,Second Floor,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03132.jpg,0,mythos
3133,Historical Society,"[reaction] After you successfully investigate this location, take 2 horror: Discover 1 clue at this location. (Limit once per round).",location,Second Floor|Passageway,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03133.jpg,0,mythos
3134,Historical Society,"[action]: Investigate. If you succeed, instead of discovering clues, choose an enemy with doom on it. Take 1 of that enemy's doom, flip it to its clue side, and place it on your investigator. (Group limit once per round).",location,Second Floor,eotp,Jokubas Uogintas,https://arkhamdb.com/bundles/cards/03134.jpg,0,mythos
3135,Quiet Halls,Quiet Halls is connected to each other [[Third Floor]] location. [action] If each location in play is revealed and there are no clues on locations in play: Place 1 [per_investigator] clues on Quiet Halls (from the token bank) .,location,Third Floor,eotp,Jokubas Uogintas,https://arkhamdb.com/bundles/cards/03135.jpg,0,mythos
3136,Historical Society,"[reaction] After you successfully investigate this location, take 2 horror: Discover 1 clue at this location. (Limit once per round).",location,Third Floor|Passageway,eotp,Mark Molnar,https://arkhamdb.com/bundles/cards/03136.jpg,0,mythos
3137,Historical Society,"While an investigator at this location controls Mr. Peabody, this location gets -2 shroud.",location,Third Floor|Passageway,eotp,Jose Vega,https://arkhamdb.com/bundles/cards/03137.jpg,0,mythos
3138,Historical Society,Each enemy at this location gets +1 fight and +1 evade.,location,Third Floor,eotp,Yoann Boissonnet,https://arkhamdb.com/bundles/cards/03138.jpg,0,mythos
3139,Hidden Library,"While an enemy is moving, Hidden Library gains the [[Passageway]] trait.",location,No traits,eotp,Stephen Somers,https://arkhamdb.com/bundles/cards/03139.jpg,0,mythos
3140,Possessed Oathspeaker,Hunter. Retaliate. Cannot be damaged during act 1 or act 2. Forced - At the beginning of the enemy phase: The investigators must either ready Possessed Oathspeaker or place 1 doom on it. Objective - If Possessed Oathspeaker is defeated: (→R3),enemy,Monster|Servitor|Elite,eotp,Guillaume Ducos,https://arkhamdb.com/bundles/cards/03140.jpg,0,mythos
3141,Mr. Peabody,"[action] Exhaust Mr. Peabody: Choose a location. Until Mr. Peabody readies, that location gets -1 shroud and gains the [[Passageway]] trait.",asset,Ally|Historical Society,eotp,Joshua Cairós,https://arkhamdb.com/bundles/cards/03141.jpg,0,neutral
3142,Clasp of Black Onyx,"While Clasp of Black Onyx is in your hand, increase the cost of each other card in your hand by 1.",asset,Item|Relic,eotp,John Pacer,https://arkhamdb.com/bundles/cards/03142.jpg,0,neutral
3143,The Tattered Cloak,"You get -1 sanity. You get +1 [willpower], +1 [combat], and +1 [agility] while you have 3 or fewer remaining sanity.",asset,Item|Clothing,eotp,Jessie Calderon,https://arkhamdb.com/bundles/cards/03143.jpg,0,neutral
3144,Seeker of Carcosa,"Spawn - Any empty Historical Society location. Aloof. Forced - At the end of the mythos phase: Move 1 clue from Seeker of Carcosa's location to Seeker of Carcosa (if you cannot, place 1 doom on Seeker of Carcosa, instead).",enemy,Humanoid|Cultist,eotp,Nick Deligaris,https://arkhamdb.com/bundles/cards/03144.jpg,0,mythos
3145,Led Astray,Peril. Revelation - You must decide (choose one): - Place 1 of your clues on a [[Cultist]] enemy. - Place 1 doom on the current agenda (this effect may cause the current agenda to advance).,treachery,Scheme,eotp,Maggie Ivy,https://arkhamdb.com/bundles/cards/03145.jpg,0,mythos
3146,The Cult's Search,"Revelation - If there is a [[Cultist]] enemy in play with doom on it, move all doom from each [[Cultist]] enemy to the current agenda (this effect may cause the current agenda to advance). If there are no [[Cultist]] enemies in play with doom on them, search the encounter deck and discard pile for a [[Cultist]] enemy and draw it (shuffle the encounter deck).",treachery,Scheme,eotp,Cristi Balanescu,https://arkhamdb.com/bundles/cards/03146.jpg,0,mythos
03001,Mark Harrigan,You begin the game with Sophie (In Loving Memory) in play. [reaction] After damage is placed on a card you control: Draw 1 card. (Limit once per phase.) [elder_sign] effect: +1 for each damage on Mark Harrigan.,investigator,Veteran,ptc,Magali Villeneuve,https://arkhamdb.com/bundles/cards/03001.png,0,guardian
03002,Minh Thi Phan,[reaction] After an investigator at your location commits a card to a skill test: That card gains a [wild] icon until the end of the test. (Limit once for each investigator per round.) [elder_sign] effect: +1. You may choose a skill card committed to this skill test to return to its owner's hand after this test ends.,investigator,Assistant,ptc,Tony Foti,https://arkhamdb.com/bundles/cards/03002.png,0,seeker
03003,Sefina Rousseau,"Forced - When you would draw your opening hand: Draw 13 cards, instead. Choose up to 5 events to place beneath this card and keep 8 cards as your opening hand. Discard the rest. (You cannot mulligan.) [action]: Choose an event beneath this card and draw it. Does not provoke attacks of opportunity. [elder_sign] effect: +3. You may choose an event beneath this card and draw it.",investigator,Artist,ptc,Jake Murray,https://arkhamdb.com/bundles/cards/03003.png,0,rogue
03004,Akachi Onyele,"Your assets with ""uses (charges)"" enter play with 1 additional charge on them. [elder_sign] effect: +1. Add 1 charge to an asset with ""uses (charges)"" you control.",investigator,Sorcerer,ptc,Magali Villeneuve,https://arkhamdb.com/bundles/cards/03004.png,0,mystic
03005,William Yorick,"[reaction] After you defeat an enemy: Play an asset from your discard pile (paying its cost) . (Limit once per round.) [elder_sign] effect: +2. If this test is successful, return 1 card from your discard pile to your hand.",investigator,Warden,ptc,Jake Murray,https://arkhamdb.com/bundles/cards/03005.png,0,survivor
03006,Lola Hayes,"Forced - After you draw your opening hand: Choose a role ([survivor], [guardian], [seeker], [rogue], [mystic], or Neutral). You can only play, commit, or trigger abilities on Neutral cards or cards of your role. [fast]: Switch your role. (Limit once per round.) [elder_sign] effect: +2. You may switch roles.",investigator,Performer,ptc,Magali Villeneuve,https://arkhamdb.com/bundles/cards/03006.png,0,neutral
03007,The Home Front,"Mark Harrigan deck only. If this skill test is successful during an attack, move 1 damage from Mark Harrigan to the attacked enemy.",skill,Practiced|Expert,ptc,Eric Deschamps,https://arkhamdb.com/bundles/cards/03007.png,0,neutral
03008,Shell Shock,"Revelation - For every 2 damage on you, take 1 horror.",treachery,Flaw,ptc,Ignacio Bazán Lazcano,https://arkhamdb.com/bundles/cards/03008.png,0,neutral
03009,Sophie,Mark Harrigan deck only. Sophie cannot leave play. [fast] Take 1 direct damage: You get +2 to your skill value for this skill test. Forced - If Mark Harrigan has 5 or more damage on him: Flip Sophie.,asset,Item|Spirit,ptc,Ilich Henriquez,https://arkhamdb.com/bundles/cards/03009.png,0,neutral
03009b,Sophie,Sophie cannot leave play. You get -1 to each of your skills. Forced - If Mark Harrigan has 4 or less damage on him: Flip Sophie.,asset,Item|Madness,ptc,Ilich Henriquez,https://arkhamdb.com/bundles/cards/03009b.png,0,neutral
03010,Analytical Mind,"Minh Thi Phan deck only. You may commit 1 card to each skill test performed by an investigator at another location. [reaction] After you commit exactly 1 card to a skill test, exhaust Analytical Mind: Draw 1 card.",asset,Talent,ptc,Maggie Ivy,https://arkhamdb.com/bundles/cards/03010.png,0,neutral
03011,The King in Yellow,Revelation - Put The King in Yellow into play in your threat area. It cannot leave play except through the [reaction] ability below. You cannot commit exactly 1 or 2 cards to a skill test. [reaction] After a skill test is successful in which Minh Thi Phan has committed at least 6 matching skill icons for that test: Discard The King in Yellow.,asset,Tome,ptc,Melissa Findley,https://arkhamdb.com/bundles/cards/03011.png,0,neutral
03012,The Painted World,Sefina Rousseau deck only. Cannot be placed beneath Sefina Rousseau. Play The Painted World as an exact copy of a non-exceptional event that is beneath Sefina Rousseau. Remove The Painted World from the game instead of discarding it.,event,Spell,ptc,Andreia Ugrai,https://arkhamdb.com/bundles/cards/03012.png,0,neutral
03013,Stars of Hyades,"Revelation - Randomly choose an event beneath Sefina Rousseau and remove it from the game. If you cannot, take 1 damage and 1 horror. If your deck has 5 or more cards in it, shuffle Stars of Hyades back into your deck instead of discarding it.",treachery,Curse,ptc,Ethan Patrick Harris,https://arkhamdb.com/bundles/cards/03013.png,0,neutral
03014,Spirit-Speaker,"Akachi Onyele deck only. [fast] Exhaust Spirit-Speaker: Choose an asset you control with ""uses (charges)."" Either return that asset to your hand, or move all charges from that asset to your resource pool (as resources) and discard that asset.",asset,Ritual,ptc,Andreas Zafiratos,https://arkhamdb.com/bundles/cards/03014.png,0,neutral
03015,Angered Spirits,"Revelation - Put Angered Spirits into play in your threat area. [fast] Exhaust a [[Spell]] asset: Move 1 charge from that asset to Angered Spirits. Forced - When the game ends, if Angered Spirits has fewer than 4 charges on it: You suffer 1 physical trauma.",treachery,Task,ptc,Odera Igbokwe,https://arkhamdb.com/bundles/cards/03015.jpg,0,neutral
03016,Bury Them Deep,William Yorick deck only. Fast. Play after a non-[[Elite]] enemy at your location is defeated. Add that enemy (and this card) to the victory display.,event,Task,ptc,Alexander Kozachenko,https://arkhamdb.com/bundles/cards/03016.jpg,0,neutral
03017,Graveyard Ghouls,"Prey - William Yorick only. Hunter. While Graveyard Ghouls is engaged with you, cards cannot leave your discard pile.",enemy,Humanoid|Monster|Ghoul,ptc,Mike Capprotti,https://arkhamdb.com/bundles/cards/03017.jpg,0,neutral
03018,Improvisation,"Lola Hayes deck only. Fast. Play only during your turn. Switch your role. Until the end of your turn, reduce the resource cost of the next card you play of your role by 3. Draw 1 card.",event,Insight,ptc,Borja Pindado,https://arkhamdb.com/bundles/cards/03018.png,0,neutral
03019,Crisis of Identity,"Revelation - Discard all cards you control of your current role. Then, discard the top card of your deck. Switch your role to the class of the discarded card (if the discarded card is a weakness, switch your role to neutral).",treachery,Madness,ptc,Matt Bradbury,https://arkhamdb.com/bundles/cards/03019.png,0,neutral
03020,.32 Colt,Uses (6 ammo). [action] Spend 1 ammo: Fight. You deal +1 damage for this attack.,asset,Item|Weapon|Firearm,ptc,Mauro Dal Bo,https://arkhamdb.com/bundles/cards/03020.jpg,0,guardian
03021,True Grit,True Grit may be assigned damage dealt to other investigators at your location.,asset,Talent,ptc,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/03021.png,0,guardian
03022,"""Let me handle this!""","Fast. Play after another investigator draws a non-peril encounter card, but before resolving that card's effects. You are considered to have drawn that encounter card, instead. You get +2 to each of your skills while resolving that card's revelation effect.",event,Spirit,ptc,Nicholas Gregory,https://arkhamdb.com/bundles/cards/03022.png,0,guardian
03023,Ever Vigilant,"One at a time, play up to 3 assets from your hand, reducing the resource cost of each by 1.",event,Tactic,ptc,Mauro Dal Bo,https://arkhamdb.com/bundles/cards/03023.jpg,1,guardian
03024,Fieldwork,"[reaction] After you move to a location, if that location has at least 1 clue on it, exhaust Fieldwork: You get +2 skill value for the next skill test you perform this phase.",asset,Talent,ptc,Michal Milkowski,https://arkhamdb.com/bundles/cards/03024.jpg,0,seeker
03025,Archaic Glyphs,"[action] Discard a card with at least 1 [intellect] skill icon from your hand: Place 1 resource on Archaic Glyphs from the token pool, as a secret. Forced - After the third secret is placed on Archaic Glyphs: Discard Archaic Glyphs and gain 5 resources. Record in your Campaign Log that ""you have translated the glyphs.""",asset,Item|Occult|Tome,ptc,Anna Christenson,https://arkhamdb.com/bundles/cards/03025.png,0,seeker
03026,No Stone Unturned,"Choose an investigator at your location. That investigator searches the top 6 cards of his or her deck for a card, draws it, and shuffles his or her deck.",event,Insight,ptc,Ilich Henriquez,https://arkhamdb.com/bundles/cards/03026.png,0,seeker
03027,In the Know,Uses (3 secrets). [action] Spend 1 secret: Investigate. Investigate any revealed location in play as if you were at that location.,asset,Talent,ptc,Julepe,https://arkhamdb.com/bundles/cards/03027.png,1,seeker
03028,Stealth,"[action] Exhaust Stealth: Evade. The chosen enemy gets -2 evade for this evasion attempt. If you successfully evade the enemy, disengage with it but do not exhaust it. Until the end of your turn, that enemy cannot engage you.",asset,Talent,ptc,Ignacio Bazán Lazcano,https://arkhamdb.com/bundles/cards/03028.jpg,0,rogue
03029,Sleight of Hand,"Fast. Play only during your turn. Put an [[Item]] asset into play from your hand. At the end of your turn, if that asset is still in play, return it to your hand.",event,Trick,ptc,Ilich Henriquez,https://arkhamdb.com/bundles/cards/03029.png,0,rogue
03030,Daring Maneuver,Fast. Play when you would succeed at a skill test. You get +2 skill value for this test.,event,Gambit,ptc,Darek Zabrocki,https://arkhamdb.com/bundles/cards/03030.png,0,rogue
03031,Lockpicks,"Uses (3 supplies). If Lockpicks has no supplies, discard it. [action] Exhaust Lockpicks: Investigate. Add your [agility] value to your skill value for this investigation. If you do not succeed by at least 2, remove 1 supply from Lockpicks.",asset,Item|Tool|Illicit,ptc,Daniel Rizea,https://arkhamdb.com/bundles/cards/03031.jpg,1,rogue
03032,Alchemical Transmutation,"Uses (3 charges). [action] Exhaust Alchemical Transmutation, spend 1 charge: Test [willpower] (1). For each point you succeed by, gain 1 resource (to a maximum of 3). If a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol is revealed during this test, take 1 damage.",asset,Spell,ptc,Andreas Zafiratos,https://arkhamdb.com/bundles/cards/03032.png,0,mystic
03033,Uncage the Soul,"Play a [[Spell]] or [[Ritual]] card from your hand, reducing its resource cost by 3.",event,Spirit,ptc,Antonio José Manzanedo,https://arkhamdb.com/bundles/cards/03033.png,0,mystic
03034,Astral Travel,"Move. Move to any revealed location and reveal a random token from the chaos bag. If you reveal a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol, you must discard an [[Item]] or [[Ally]] asset you control (if you cannot, take 1 damage).",event,Spell,ptc,Adam Schumpert,https://arkhamdb.com/bundles/cards/03034.png,0,mystic
03035,Spirit Athame,"[fast] During a skill test on a [[Spell]] card, exhaust Spirit Athame: You get +2 skill value for this test. [action] Exhaust Spirit Athame: Fight. You get +2 [combat] for this attack.",asset,Item|Relic|Weapon|Melee,ptc,Chelsea Conlin,https://arkhamdb.com/bundles/cards/03035.jpg,1,mystic
03036,Lantern,[action]: Investigate. Your location gets -1 shroud for this investigation. [action] Discard Lantern: Deal 1 damage to an enemy at your location. This action does not provoke attacks of opportunity.,asset,Item|Tool,ptc,Ilich Henriquez,https://arkhamdb.com/bundles/cards/03036.jpg,0,survivor
03037,Gravedigger's Shovel,[action]: Fight. You get +2 [combat] for this attack. [action] Discard Gravedigger's Shovel: Discover 1 clue at your location.,asset,Item|Tool|Weapon|Melee,ptc,Matt Bradbury,https://arkhamdb.com/bundles/cards/03037.jpg,0,survivor
03038,Hiding Spot,"Fast. Attach Hiding Spot to any location. Each non-[[Elite]] enemy at attached location gains aloof. Forced - At the end of the enemy phase, if a ready enemy is at attached location: Discard Hiding Spot.",event,Tactic|Trick,ptc,Adam Schumpert,https://arkhamdb.com/bundles/cards/03038.jpg,0,survivor
03039,Resourceful,"If this skill test is successful, choose a [survivor] card not named Resourceful in your discard pile. Add the chosen card to your hand.",skill,Innate,ptc,Audrey Hotte,https://arkhamdb.com/bundles/cards/03039.jpg,0,survivor
03040,Overzealous,Revelation - Draw the top card of the encounter deck. That card gains surge.,treachery,Flaw,ptc,David Auden Nash,https://arkhamdb.com/bundles/cards/03040.jpg,0,neutral
03041,Drawing the Sign,Revelation - Put Drawing the Sign into play in your threat area. Your maximum hand size is reduced by 5. [action] [action]: Discard Drawing the Sign.,treachery,Pact|Madness,ptc,Andreas Zafiratos,https://arkhamdb.com/bundles/cards/03041.jpg,0,neutral
03042,The Thing That Follows,Spawn - Location farthest from you. Prey - Bearer only. Hunter. Forced - When The Thing That Follows would be defeated: Instead shuffle it into its bearer's deck.,enemy,Monster|Curse,ptc,JB Casacop,https://arkhamdb.com/bundles/cards/03042.jpg,0,neutral
03200,A Phantom of Truth,"Easy / Standard [skull]: -X. X is the amount of doom in play (max 5). [cultist]: -2. If you fail, move each unengaged [[Byakhee]] in play once toward the nearest investigator. [tablet]: -3. Cancel the effects and icons of each skill card committed to this test. [elder_thing]: -2. If you fail, lose 1 resource for each point you failed by.",scenario,No traits,apot,Unknown,https://arkhamdb.com/bundles/cards/03200.jpg,0,mythos
03201,The First Night,"While you have more Conviction than Doubt , this agenda gains: ""When checking the doom threshold, doom on cards other than this agenda subtract from the total doom in play instead of adding to it.""",agenda,No traits,apot,Dleoblack,https://arkhamdb.com/bundles/cards/03201.jpg,0,mythos
03202,The Second Night,"While you have more Conviction than Doubt , this agenda gains: ""When checking the doom threshold, doom on cards other than this agenda subtract from the total doom in play instead of adding to it.""",agenda,No traits,apot,Dleoblack,https://arkhamdb.com/bundles/cards/03202.jpg,0,mythos
03203,The Third Night,"While you have more Conviction than Doubt , this agenda gains: ""When checking the doom threshold, doom on cards other than this agenda subtract from the total doom in play instead of adding to it.""",agenda,No traits,apot,Dleoblack,https://arkhamdb.com/bundles/cards/03203.jpg,0,mythos
03204,The Parisian Conspiracy (v. I),"Objective - Spend the requisite number of clues to advance. Objective - At the end of the round, if there are 3 or more doom in play, advance.",act,No traits,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03204.jpg,0,mythos
03205,The Parisian Conspiracy (v. II),"Objective - Spend the requisite number of clues to advance. Objective - At the end of the round, if there are 3 or more doom in play, advance.",act,No traits,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03205.jpg,0,mythos
03206,Pursuing Shadows,"[reaction] After you successfully attack The Organist: An investigator at your location may place 1 of his or her clues on The Organist. (Group limit 1 [per_investigator] times per round.) Objective - If there are 3 [per_investigator] clues on The Organist, advance.",act,No traits,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03206.jpg,0,mythos
03207,Stalked by Shadows,"[fast] Spend 1 [per_investigator] clues, as a group: Either place 1 doom on the current agenda, or automatically evade The Organist. (Group limit once per round.) Objective - Survive three nights. (Do not advance until you are instructed.)",act,No traits,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03207.jpg,0,mythos
03208,Montparnasse,[fast] Discard a card from your hand: Gain resources equal to the number of [willpower] icons on the discarded card. (Limit once per round.),location,Paris|Rail,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03208.jpg,0,mythos
03209,Montmartre,"[action]: Reveal the top card of each investigator's deck. You may play an asset revealed by this effect (paying its cost) , under your control. Shuffle each investigator's deck. (Group limit once per round.)",location,Paris|Rail,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03209.jpg,0,mythos
03210,Montmartre,[action] Spend 1 resource: Add 1 supply or ammo token to a card you control. (Limit once per round.),location,Paris|Rail,apot,Matthew Cowdery,https://arkhamdb.com/bundles/cards/03210.jpg,0,mythos
03211,Grand Guignol,"Forced - After you reveal Grand Guignol: You must either take 2 horror, or shuffle all non-weakness cards from your hand into your deck, then draw an equal number of cards.",location,Paris,apot,Jeff Lee Johnson,https://arkhamdb.com/bundles/cards/03211.jpg,0,mythos
03212,Opéra Garnier,"While you are investigating Opéra Garnier, double the number of skill icons committed to this skill test.",location,Paris|Rail,apot,Nele Diel,https://arkhamdb.com/bundles/cards/03212.jpg,0,mythos
03213,Opéra Garnier,"While you are investigating Opéra Garnier, double the base value of your skill.",location,Paris|Rail,apot,Nele Diel,https://arkhamdb.com/bundles/cards/03213.jpg,0,mythos
03214,Gare d'Orsay,[action] Spend 1 resource: Move to any [[Rail]] location.,location,Paris|Rail,apot,Jeff Lee Johnson,https://arkhamdb.com/bundles/cards/03214.jpg,0,mythos
03215,Père Lachaise Cemetery,Forced - After you successfully investigate Père Lachaise Cemetery: You cannot leave Père Lachaise Cemetery until the end of the round.,location,Paris,apot,Vlad Ricean,https://arkhamdb.com/bundles/cards/03215.jpg,0,mythos
03216,Canal Saint-Martin,[reaction] After you evade an enemy at Canal Saint-Martin: Move that enemy to a connecting location. (Limit once per round.),location,Paris,apot,Vlad Ricean,https://arkhamdb.com/bundles/cards/03216.jpg,0,mythos
03217,Le Marais,"[reaction] When your turn begins, if you are in Le Marais: Draw 1 card. (Group limit once per round.)",location,Paris|Rail,apot,Uriah Voth,https://arkhamdb.com/bundles/cards/03217.jpg,0,mythos
03218,Le Marais,"Forced - After you enter Le Marais: For the remainder of the round, you cannot leave Le Marais.",location,Paris|Rail,apot,Uriah Voth,https://arkhamdb.com/bundles/cards/03218.jpg,0,mythos
03219,Notre-Dame,"Each enemy at Notre-Dame gets -1 fight and +1 evade. [action]: Test [willpower] (6). If you succeed, either place 1 doom on the current agenda, or remove 1 doom from the current agenda. (Group limit once per game.)",location,Paris|Rail,apot,Lucas Staniec,https://arkhamdb.com/bundles/cards/03219.jpg,0,mythos
03220,Gardens of Luxembourg,"While a [[Byakhee]] enemy is moving, if there is an investigator at Gardens of Luxembourg, that enemy's location is considered to be connected to Gardens of Luxembourg.",location,Paris,apot,Borja Pindado,https://arkhamdb.com/bundles/cards/03220.jpg,0,mythos
03221,The Organist,"Hunter. Cannot be damaged. Forced - After The Organist moves from the hunter keyword, if it is unengaged: Resolve its hunter keyword again. The Organist cannot attack this phase. (Limit once per round).",enemy,Humanoid|Avatar|Elite,apot,Michele Frigo,https://arkhamdb.com/bundles/cards/03221.jpg,0,mythos
03221b,The Organist,"Aloof. Cannot be damaged. Forced - At the end of the enemy phase: If The Organist is unengaged, move it 1 location away from the nearest investigator (to a location with no investigators, if possible). If it is engaged, disengage it instead.",enemy,Humanoid|Avatar|Elite,apot,Michele Frigo,https://arkhamdb.com/bundles/cards/03221b.jpg,0,mythos
03222,Stealthy Byakhee,"Hunter. While Stealthy Byakhee is exhausted, it gets -3 fight.",enemy,Monster|Byakhee,apot,Ryan Barger,https://arkhamdb.com/bundles/cards/03222.jpg,0,mythos
03223,Twin Suns,"Revelation - Test [intellect] (4). If you fail, you must either remove 1 doom from the current agenda, or take 1 horror for each point you failed by.",treachery,Omen,apot,Lucas Staniec,https://arkhamdb.com/bundles/cards/03223.jpg,0,mythos
03224,Deadly Fate,"Revelation - Test [willpower] (3). If you fail, discard cards from the top of the encounter deck until an enemy is discarded. You must either draw that enemy, or that enemy attacks you (from the discard pile) . If no enemy is discarded, take 1 horror instead.",treachery,Omen,apot,Sebastian Rodriguez,https://arkhamdb.com/bundles/cards/03224.jpg,0,mythos
03225,Torturous Chords,"Revelation - Test [willpower] (5). If you fail, put Torturous Chords into play in your threat area, with 1 resource on it for each point you failed by. Each time you play a card, increase the cost of that card by 1 and remove 1 resource from Torturous Chords. If Torturous Chords has no resources, discard it.",treachery,Hex|Terror,apot,Alexandre Dainche,https://arkhamdb.com/bundles/cards/03225.jpg,0,mythos
03226,Frozen in Fear,"Revelation - Put Frozen in Fear into play in your threat area. The first time you perform one of the following actions (move, fight, or evade) each round, it costs 1 additional action. Forced - At the end of your turn: Test [willpower] (3). If you succeed, discard Frozen in Fear.",treachery,Terror,apot,Anders Finer,https://arkhamdb.com/bundles/cards/03226.jpg,0,mythos
03227,Lost Soul,"Revelation - Check Campaign Log. - If you have more (or equal) Doubt than Conviction , test [intellect] (X), where X is your [willpower]. If you fail, take 2 damage. - If you have more Conviction than Doubt , test [willpower] (X), where X is your [intellect]. If you fail, take 2 damage.",treachery,Madness|Pact,apot,Ethan Patrick Harris,https://arkhamdb.com/bundles/cards/03227.jpg,0,neutral
